年度季別,醫事機構代碼,醫事機構名稱,特約類別,血清白蛋白檢查人數,腹膜透析人數,血清白蛋白受檢率,檢測方法,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
109年第三季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,95.00,99.00,0.9596,BCG,7,是,否,高雄市,苓雅區
109年第四季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,99.00,102.00,0.9706,BCG,7,是,否,高雄市,苓雅區
110年第一季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,104.00,106.00,0.9811,BCG,7,是,否,高雄市,苓雅區
110年第三季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,113.00,116.00,0.9741,BCG,6,是,否,高雄市,苓雅區
110年第四季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,118.00,119.00,0.9916,BCG,6,是,否,高雄市,苓雅區
111年第一季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,126.00,129.00,0.9767,BCG,6,是,否,高雄市,苓雅區
111年第二季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,127.00,130.00,0.9769,BCG,6,是,否,高雄市,苓雅區
111年第三季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,122.00,126.00,0.9683,BCG,6,是,否,高雄市,苓雅區
111年第四季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,124.00,128.00,0.9688,BCG,6,是,否,高雄市,苓雅區
112年第一季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,127.00,130.00,0.9769,BCG,6,是,否,高雄市,苓雅區
112年第二季,0902080013,阮綜合醫療社團法人阮綜合醫院,區域醫院,132.00,138.00,0.9565,BCG,6,是,否,高雄市,苓雅區
107年第三季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,9.00,10.00,0.9000,BCG,3,是,否,臺南市,東區
107年第四季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,10.00,11.00,0.9091,BCG,3,是,否,臺南市,東區
108年第一季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,11.00,12.00,0.9167,BCG,3,是,否,臺南市,東區
108年第二季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,11.00,12.00,0.9167,BCG,3,是,否,臺南市,東區
108年第三季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,11.00,12.00,0.9167,BCG,3,是,否,臺南市,東區
108年第四季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,13.00,14.00,0.9286,BCG,3,是,否,臺南市,東區
109年第一季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,14.00,15.00,0.9333,BCG,3,是,否,臺南市,東區
109年第二季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,14.00,15.00,0.9333,BCG,3,是,否,臺南市,東區
109年第三季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,15.00,16.00,0.9375,BCG,3,是,否,臺南市,東區
109年第四季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,15.00,16.00,0.9375,BCG,3,是,否,臺南市,東區
110年第一季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,14.00,15.00,0.9333,BCG,3,是,否,臺南市,東區
110年第二季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,13.00,14.00,0.9286,BCG,3,是,否,臺南市,東區
110年第三季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,13.00,14.00,0.9286,BCG,3,是,否,臺南市,東區
110年第四季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,11.00,12.00,0.9167,BCG,3,是,否,臺南市,東區
111年第一季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,11.00,12.00,0.9167,BCG,3,是,否,臺南市,東區
111年第二季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,12.00,13.00,0.9231,BCG,3,是,否,臺南市,東區
111年第三季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,10.00,11.00,0.9091,BCG,3,是,否,臺南市,東區
111年第四季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,9.00,10.00,0.9000,BCG,3,是,否,臺南市,東區
112年第一季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,11.00,12.00,0.9167,BCG,3,是,否,臺南市,東區
112年第二季,0905320023,台南市立醫院(委託秀傳醫療社團法人經營),區域醫院,11.00,12.00,0.9167,BCG,3,是,否,臺南市,東區
99年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,7.00,7.00,1.0000,BCP,3,是,否,臺中市,南屯區
99年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,8.00,8.00,1.0000,BCP,3,是,否,臺中市,南屯區
99年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,8.00,8.00,1.0000,BCG,2,是,否,臺中市,南屯區
100年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,10.00,10.00,1.0000,BCG,2,是,,臺中市,南屯區
100年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,13.00,13.00,1.0000,BCG,2,是,,臺中市,南屯區
100年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,14.00,14.00,1.0000,BCG,3,是,否,臺中市,南屯區
100年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,15.00,15.00,1.0000,BCG,3,是,否,臺中市,南屯區
101年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,16.00,16.00,1.0000,BCG,4,是,否,臺中市,南屯區
101年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,17.00,17.00,1.0000,BCG,4,是,否,臺中市,南屯區
101年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,17.00,17.00,1.0000,BCG,4,是,否,臺中市,南屯區
101年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,22.00,22.00,1.0000,BCG,4,是,否,臺中市,南屯區
102年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,23.00,23.00,1.0000,BCG,4,是,否,臺中市,南屯區
102年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,21.00,21.00,1.0000,BCG,4,是,否,臺中市,南屯區
102年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,21.00,21.00,1.0000,BCG,4,是,否,臺中市,南屯區
102年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,25.00,27.00,0.9259,BCG,4,是,否,臺中市,南屯區
103年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,24.00,25.00,0.9600,BCG,4,是,否,臺中市,南屯區
103年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,28.00,28.00,1.0000,BCG,4,是,否,臺中市,南屯區
103年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,27.00,27.00,1.0000,BCG,4,是,否,臺中市,南屯區
103年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,28.00,28.00,1.0000,BCG,4,是,否,臺中市,南屯區
104年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,31.00,31.00,1.0000,BCG,4,是,否,臺中市,南屯區
104年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,31.00,31.00,1.0000,BCG,4,是,否,臺中市,南屯區
104年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,30.00,30.00,1.0000,BCG,4,是,否,臺中市,南屯區
104年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,32.00,32.00,1.0000,BCG,4,是,否,臺中市,南屯區
105年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,31.00,32.00,0.9688,BCG,5,是,否,臺中市,南屯區
105年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,32.00,33.00,0.9697,BCG,4,是,否,臺中市,南屯區
105年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,27.00,29.00,0.9310,BCG,4,是,否,臺中市,南屯區
105年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,25.00,27.00,0.9259,BCG,4,是,否,臺中市,南屯區
106年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,28.00,29.00,0.9655,BCG,5,是,否,臺中市,南屯區
107年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,2.00,2.00,1.0000,BCG,2,是,否,臺中市,南屯區
107年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,3.00,3.00,1.0000,BCG,2,是,否,臺中市,南屯區
108年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,3.00,3.00,1.0000,BCG,2,是,否,臺中市,南屯區
108年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,臺中市,南屯區
108年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,5.00,5.00,1.0000,BCG,3,是,否,臺中市,南屯區
108年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,6.00,6.00,1.0000,BCG,3,是,否,臺中市,南屯區
109年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,8.00,8.00,1.0000,BCG,3,是,否,臺中市,南屯區
109年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,8.00,8.00,1.0000,BCG,3,是,否,臺中市,南屯區
109年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,8.00,8.00,1.0000,BCG,3,是,否,臺中市,南屯區
109年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,9.00,9.00,1.0000,BCG,3,是,否,臺中市,南屯區
110年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,11.00,11.00,1.0000,BCG,3,是,否,臺中市,南屯區
110年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,11.00,11.00,1.0000,BCG,3,是,否,臺中市,南屯區
110年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,12.00,12.00,1.0000,BCG,3,是,否,臺中市,南屯區
110年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,12.00,12.00,1.0000,BCG,3,是,否,臺中市,南屯區
111年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,14.00,14.00,1.0000,BCG,3,是,否,臺中市,南屯區
111年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,15.00,15.00,1.0000,BCG,3,是,否,臺中市,南屯區
111年第三季,0917070029,林新醫療社團法人林新醫院,區域醫院,14.00,14.00,1.0000,BCG,3,是,否,臺中市,南屯區
111年第四季,0917070029,林新醫療社團法人林新醫院,區域醫院,15.00,15.00,1.0000,BCG,3,是,否,臺中市,南屯區
112年第一季,0917070029,林新醫療社團法人林新醫院,區域醫院,13.00,13.00,1.0000,BCG,3,是,否,臺中市,南屯區
112年第二季,0917070029,林新醫療社團法人林新醫院,區域醫院,13.00,13.00,1.0000,BCG,3,是,否,臺中市,南屯區
104年第三季,0932020025,天成醫療社團法人天晟醫院,區域醫院,2.00,2.00,1.0000,BCG,3,是,否,桃園市,中壢區
104年第四季,0932020025,天成醫療社團法人天晟醫院,區域醫院,2.00,2.00,1.0000,BCG,3,是,否,桃園市,中壢區
105年第一季,0932020025,天成醫療社團法人天晟醫院,區域醫院,3.00,3.00,1.0000,BCG,3,是,否,桃園市,中壢區
105年第四季,0932020025,天成醫療社團法人天晟醫院,區域醫院,3.00,3.00,1.0000,BCG,3,是,否,桃園市,中壢區
106年第二季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
106年第三季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
106年第四季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
107年第二季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
107年第三季,0932020025,天成醫療社團法人天晟醫院,區域醫院,3.00,3.00,1.0000,BCG,3,是,否,桃園市,中壢區
107年第四季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
108年第一季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
108年第二季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
108年第三季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
108年第四季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
109年第一季,0932020025,天成醫療社團法人天晟醫院,區域醫院,5.00,5.00,1.0000,BCG,3,是,否,桃園市,中壢區
109年第二季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
109年第三季,0932020025,天成醫療社團法人天晟醫院,區域醫院,4.00,4.00,1.0000,BCG,3,是,否,桃園市,中壢區
109年第四季,0932020025,天成醫療社團法人天晟醫院,區域醫院,5.00,5.00,1.0000,BCG,3,是,否,桃園市,中壢區
110年第一季,0932020025,天成醫療社團法人天晟醫院,區域醫院,6.00,6.00,1.0000,BCG,3,是,否,桃園市,中壢區
110年第二季,0932020025,天成醫療社團法人天晟醫院,區域醫院,6.00,6.00,1.0000,BCG,2,是,否,桃園市,中壢區
110年第三季,0932020025,天成醫療社團法人天晟醫院,區域醫院,6.00,6.00,1.0000,BCG,2,是,否,桃園市,中壢區
110年第四季,0932020025,天成醫療社團法人天晟醫院,區域醫院,6.00,6.00,1.0000,BCG,3,是,否,桃園市,中壢區
111年第一季,0932020025,天成醫療社團法人天晟醫院,區域醫院,7.00,7.00,1.0000,BCG,3,是,否,桃園市,中壢區
111年第二季,0932020025,天成醫療社團法人天晟醫院,區域醫院,6.00,6.00,1.0000,BCG,3,是,否,桃園市,中壢區
111年第三季,0932020025,天成醫療社團法人天晟醫院,區域醫院,6.00,6.00,1.0000,BCG,3,是,否,桃園市,中壢區
111年第四季,0932020025,天成醫療社團法人天晟醫院,區域醫院,6.00,6.00,1.0000,BCG,3,是,否,桃園市,中壢區
112年第一季,0932020025,天成醫療社團法人天晟醫院,區域醫院,7.00,7.00,1.0000,BCG,3,是,否,桃園市,中壢區
112年第二季,0932020025,天成醫療社團法人天晟醫院,區域醫院,6.00,6.00,1.0000,BCG,3,是,否,桃園市,中壢區
108年第一季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,29.00,29.00,1.0000,BCG,4,是,否,新竹縣,竹北市
108年第二季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,30.00,30.00,1.0000,BCG,4,是,否,新竹縣,竹北市
108年第三季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,28.00,28.00,1.0000,BCG,4,是,否,新竹縣,竹北市
108年第四季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,26.00,26.00,1.0000,BCG,4,是,否,新竹縣,竹北市
109年第一季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,22.00,22.00,1.0000,BCG,4,是,否,新竹縣,竹北市
109年第二季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,23.00,23.00,1.0000,BCG,4,是,否,新竹縣,竹北市
109年第三季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,20.00,20.00,1.0000,BCG,4,是,否,新竹縣,竹北市
109年第四季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,19.00,19.00,1.0000,BCG,4,是,否,新竹縣,竹北市
110年第一季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,17.00,17.00,1.0000,BCG,4,是,否,新竹縣,竹北市
110年第二季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,18.00,18.00,1.0000,BCG,4,是,否,新竹縣,竹北市
110年第三季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,16.00,16.00,1.0000,BCG,4,是,否,新竹縣,竹北市
110年第四季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,17.00,17.00,1.0000,BCG,4,是,否,新竹縣,竹北市
111年第一季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,17.00,17.00,1.0000,BCG,4,是,否,新竹縣,竹北市
111年第二季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,16.00,16.00,1.0000,BCG,4,是,否,新竹縣,竹北市
111年第三季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,14.00,14.00,1.0000,BCG,4,是,否,新竹縣,竹北市
111年第四季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,16.00,16.00,1.0000,BCG,4,是,否,新竹縣,竹北市
112年第一季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,15.00,15.00,1.0000,BCG,4,是,否,新竹縣,竹北市
112年第二季,0933050018,東元醫療社團法人東元綜合醫院,區域醫院,15.00,15.00,1.0000,BCG,4,是,否,新竹縣,竹北市
104年第一季,0935020027,李綜合醫療社團法人苑裡李綜合醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,苗栗縣,苑裡鎮
104年第二季,0935020027,李綜合醫療社團法人苑裡李綜合醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,苗栗縣,苑裡鎮
106年第一季,0935020027,李綜合醫療社團法人苑裡李綜合醫院,地區醫院,2.00,2.00,1.0000,BCG,1,是,否,苗栗縣,苑裡鎮
106年第二季,0935020027,李綜合醫療社團法人苑裡李綜合醫院,地區醫院,2.00,2.00,1.0000,BCG,1,是,否,苗栗縣,苑裡鎮
106年第三季,0935020027,李綜合醫療社團法人苑裡李綜合醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,苗栗縣,苑裡鎮
106年第四季,0935020027,李綜合醫療社團法人苑裡李綜合醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,苗栗縣,苑裡鎮
107年第一季,0935020027,李綜合醫療社團法人苑裡李綜合醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,苗栗縣,苑裡鎮
107年第二季,0935020027,李綜合醫療社團法人苑裡李綜合醫院,地區醫院,1.00,1.00,1.0000,BCG,1,是,否,苗栗縣,苑裡鎮
100年第三季,0936030018,李綜合醫療社團法人大甲李綜合醫院,區域醫院,2.00,2.00,1.0000,BCG,1,否,否,臺中市,大甲區
100年第四季,0936030018,李綜合醫療社團法人大甲李綜合醫院,區域醫院,2.00,2.00,1.0000,BCG,1,否,否,臺中市,大甲區
101年第一季,0936030018,李綜合醫療社團法人大甲李綜合醫院,區域醫院,1.00,1.00,1.0000,BCG,1,否,否,臺中市,大甲區
101年第二季,0936030018,李綜合醫療社團法人大甲李綜合醫院,區域醫院,2.00,2.00,1.0000,BCG,1,否,否,臺中市,大甲區
101年第三季,0936030018,李綜合醫療社團法人大甲李綜合醫院,區域醫院,1.00,1.00,1.0000,BCG,1,否,否,臺中市,大甲區
98年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,51.00,51.00,1.0000,BCP,5,是,是,臺中市,沙鹿區
98年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,48.00,49.00,0.9795,BCP,6,是,是,臺中市,沙鹿區
98年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,50.00,50.00,1.0000,BCP,4,是,是,臺中市,沙鹿區
99年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,49.00,51.00,0.9607,BCP,4,是,是,臺中市,沙鹿區
99年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,50.00,50.00,1.0000,BCP,4,是,是,臺中市,沙鹿區
99年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,50.00,50.00,1.0000,BCP,4,是,是,臺中市,沙鹿區
99年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,50.00,50.00,1.0000,BCG,4,是,是,臺中市,沙鹿區
100年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,47.00,47.00,1.0000,BCG,4,是,,臺中市,沙鹿區
100年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,45.00,46.00,0.9782,BCG,3,是,,臺中市,沙鹿區
100年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,48.00,48.00,1.0000,BCG,3,是,否,臺中市,沙鹿區
100年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,47.00,48.00,0.9791,BCG,3,是,否,臺中市,沙鹿區
101年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,47.00,47.00,1.0000,BCG,3,是,是,臺中市,沙鹿區
101年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,47.00,48.00,0.9791,BCG,3,是,是,臺中市,沙鹿區
101年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,49.00,49.00,1.0000,BCG,3,是,是,臺中市,沙鹿區
101年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,51.00,51.00,1.0000,BCG,4,是,是,臺中市,沙鹿區
102年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,50.00,50.00,1.0000,BCG,5,是,是,臺中市,沙鹿區
102年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,51.00,52.00,0.9807,BCG,5,是,是,臺中市,沙鹿區
102年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,52.00,52.00,1.0000,BCG,6,是,是,臺中市,沙鹿區
102年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,49.00,49.00,1.0000,BCG,5,是,是,臺中市,沙鹿區
103年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,53.00,53.00,1.0000,BCG,5,是,是,臺中市,沙鹿區
103年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,52.00,52.00,1.0000,BCG,5,是,是,臺中市,沙鹿區
103年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,52.00,52.00,1.0000,BCG,5,是,是,臺中市,沙鹿區
103年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,54.00,54.00,1.0000,BCG,5,是,是,臺中市,沙鹿區
104年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,67.00,67.00,1.0000,BCG,5,是,是,臺中市,沙鹿區
104年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,66.00,66.00,1.0000,BCG,5,是,是,臺中市,沙鹿區
104年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,67.00,68.00,0.9853,BCG,5,是,否,臺中市,沙鹿區
104年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,68.00,68.00,1.0000,BCG,5,是,否,臺中市,沙鹿區
105年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,63.00,68.00,0.9265,BCG,5,是,是,臺中市,沙鹿區
105年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,69.00,70.00,0.9857,BCG,5,是,是,臺中市,沙鹿區
105年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,63.00,64.00,0.9844,BCG,4,是,否,臺中市,沙鹿區
105年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,61.00,62.00,0.9839,BCG,4,是,否,臺中市,沙鹿區
106年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,59.00,60.00,0.9833,BCG,4,是,是,臺中市,沙鹿區
106年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,59.00,60.00,0.9833,BCG,4,是,是,臺中市,沙鹿區
106年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,59.00,60.00,0.9833,BCG,5,是,否,臺中市,沙鹿區
106年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,61.00,62.00,0.9839,BCG,5,是,否,臺中市,沙鹿區
107年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,62.00,64.00,0.9688,BCG,5,是,否,臺中市,沙鹿區
107年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,61.00,62.00,0.9839,BCG,5,是,否,臺中市,沙鹿區
107年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,58.00,59.00,0.9831,BCG,6,是,否,臺中市,沙鹿區
107年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,59.00,60.00,0.9833,BCG,6,是,否,臺中市,沙鹿區
108年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,60.00,61.00,0.9836,BCG,7,是,否,臺中市,沙鹿區
108年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,57.00,59.00,0.9661,BCG,7,是,否,臺中市,沙鹿區
108年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,57.00,59.00,0.9661,BCG,7,是,否,臺中市,沙鹿區
108年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,59.00,61.00,0.9672,BCG,7,是,否,臺中市,沙鹿區
109年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,58.00,60.00,0.9667,BCG,7,是,否,臺中市,沙鹿區
109年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,63.00,65.00,0.9692,BCG,7,是,否,臺中市,沙鹿區
109年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,59.00,61.00,0.9672,BCG,8,是,否,臺中市,沙鹿區
109年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,56.00,58.00,0.9655,BCG,8,是,否,臺中市,沙鹿區
110年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,58.00,60.00,0.9667,BCG,7,是,否,臺中市,沙鹿區
110年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,52.00,54.00,0.9630,BCG,7,是,否,臺中市,沙鹿區
110年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,47.00,49.00,0.9592,BCG,7,是,否,臺中市,沙鹿區
110年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,47.00,48.00,0.9792,BCG,7,是,否,臺中市,沙鹿區
111年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,47.00,48.00,0.9792,BCG,7,是,否,臺中市,沙鹿區
111年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,47.00,48.00,0.9792,BCG,7,是,否,臺中市,沙鹿區
111年第三季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,48.00,49.00,0.9796,BCG,7,是,否,臺中市,沙鹿區
111年第四季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,48.00,49.00,0.9796,BCG,7,是,否,臺中市,沙鹿區
112年第一季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,44.00,45.00,0.9778,BCG,7,是,否,臺中市,沙鹿區
112年第二季,0936050029,光田醫療社團法人光田綜合醫院,區域醫院,47.00,48.00,0.9792,BCG,7,是,否,臺中市,沙鹿區
98年第二季,0936060016,童綜合醫療社團法人童綜合醫院,區域醫院,60.00,61.00,0.9836,BCP,5,是,是,臺中市,梧棲區
98年第三季,0936060016,童綜合醫療社團法人童綜合醫院,區域醫院,65.00,67.00,0.9701,BCP,6,是,是,臺中市,梧棲區
98年第四季,0936060016,童綜合醫療社團法人童綜合醫院,區域醫院,65.00,67.00,0.9701,BCP,6,是,是,臺中市,梧棲區
99年第一季,0936060016,童綜合醫療社團法人童綜合醫院,區域醫院,65.00,66.00,0.9848,BCP,6,是,是,臺中市,梧棲區
99年第二季,0936060016,童綜合醫療社團法人童綜合醫院,區域醫院,67.00,68.00,0.9852,BCP,6,是,是,臺中市,梧棲區
99年第三季,0936060016,童綜合醫療社團法人童綜合醫院,區域醫院,69.00,70.00,0.9857,BCP,6,是,是,臺中市,梧棲區
