年度,醫事機構代碼,醫事機構名稱,特約類別,瘻管重建人次數,血液透析透析人月數,瘻管重建率_每1000人月,院所腎臟專科醫師數,院所是否參與健保計畫,院所是否參與國健署計畫,縣市別,鄉鎮別
107年第四季,0131060029,衛生福利部臺北醫院,區域醫院,7.00,1150.00,0.0061,1,是,否,新北市,新莊區
108年第二季,0131060029,衛生福利部臺北醫院,區域醫院,5.00,1135.00,0.0044,2,是,否,新北市,新莊區
108年第四季,0131060029,衛生福利部臺北醫院,區域醫院,3.00,1098.00,0.0027,3,是,否,新北市,新莊區
109年第二季,0131060029,衛生福利部臺北醫院,區域醫院,2.00,537.00,0.0037,2,是,否,新北市,新莊區
109年第四季,0131060029,衛生福利部臺北醫院,區域醫院,2.00,533.00,0.0038,4,是,否,新北市,新莊區
110年第二季,0131060029,衛生福利部臺北醫院,區域醫院,6.00,1002.00,0.0060,5,是,否,新北市,新莊區
110年第四季,0131060029,衛生福利部臺北醫院,區域醫院,1.00,920.00,0.0011,5,是,否,新北市,新莊區
111年第二季,0131060029,衛生福利部臺北醫院,區域醫院,6.00,999.00,0.0060,5,是,否,新北市,新莊區
111年第四季,0131060029,衛生福利部臺北醫院,區域醫院,3.00,997.00,0.0030,4,是,否,新北市,新莊區
112年第二季,0131060029,衛生福利部臺北醫院,區域醫院,3.00,1137.00,0.0026,4,是,否,新北市,新莊區
95年第二季,0132010014,衛生福利部桃園醫院,區域醫院,10.00,1375.80,0.0072,2,否,否,桃園市,桃園區
95年第四季,0132010014,衛生福利部桃園醫院,區域醫院,10.00,1422.90,0.0070,2,是,否,桃園市,桃園區
96年第二季,0132010014,衛生福利部桃園醫院,區域醫院,1.00,1359.90,0.0007,2,是,否,桃園市,桃園區
96年第四季,0132010014,衛生福利部桃園醫院,區域醫院,2.00,1420.70,0.0014,2,是,否,桃園市,桃園區
97年第二季,0132010014,衛生福利部桃園醫院,區域醫院,2.00,1380.50,0.0014,2,是,否,桃園市,桃園區
97年第四季,0132010014,衛生福利部桃園醫院,區域醫院,5.00,1397.50,0.0035,2,是,否,桃園市,桃園區
98年第二季,0132010014,衛生福利部桃園醫院,區域醫院,3.00,1427.70,0.0021,3,是,是,桃園市,桃園區
98年第四季,0132010014,衛生福利部桃園醫院,區域醫院,0.00,1467.30,0.0000,4,是,是,桃園市,桃園區
99年第二季,0132010014,衛生福利部桃園醫院,區域醫院,0.00,1403.70,0.0000,4,是,是,桃園市,桃園區
99年第四季,0132010014,衛生福利部桃園醫院,區域醫院,1.00,1446.00,0.0006,4,是,是,桃園市,桃園區
100年第二季,0132010014,衛生福利部桃園醫院,區域醫院,0.00,1457.80,0.0000,4,是,是,桃園市,桃園區
100年第四季,0132010014,衛生福利部桃園醫院,區域醫院,3.00,1453.00,0.0020,3,是,否,桃園市,桃園區
101年第二季,0132010014,衛生福利部桃園醫院,區域醫院,1.00,1476.80,0.0006,4,是,是,桃園市,桃園區
101年第四季,0132010014,衛生福利部桃園醫院,區域醫院,0.00,1539.40,0.0000,5,是,是,桃園市,桃園區
102年第二季,0132010014,衛生福利部桃園醫院,區域醫院,1.00,1592.80,0.0006,5,是,是,桃園市,桃園區
102年第四季,0132010014,衛生福利部桃園醫院,區域醫院,11.00,1675.10,0.0065,5,是,是,桃園市,桃園區
103年第二季,0132010014,衛生福利部桃園醫院,區域醫院,3.00,1690.80,0.0017,5,是,是,桃園市,桃園區
103年第四季,0132010014,衛生福利部桃園醫院,區域醫院,6.00,1720.70,0.0034,6,是,是,桃園市,桃園區
104年第二季,0132010014,衛生福利部桃園醫院,區域醫院,6.00,2091.00,0.0029,5,是,是,桃園市,桃園區
104年第四季,0132010014,衛生福利部桃園醫院,區域醫院,1.00,2094.00,0.0005,4,是,否,桃園市,桃園區
105年第二季,0132010014,衛生福利部桃園醫院,區域醫院,2.00,2192.00,0.0009,5,是,是,桃園市,桃園區
105年第四季,0132010014,衛生福利部桃園醫院,區域醫院,4.00,2304.00,0.0017,5,是,否,桃園市,桃園區
106年第二季,0132010014,衛生福利部桃園醫院,區域醫院,2.00,2472.00,0.0008,6,是,是,桃園市,桃園區
106年第四季,0132010014,衛生福利部桃園醫院,區域醫院,2.00,2478.00,0.0008,7,是,否,桃園市,桃園區
107年第二季,0132010014,衛生福利部桃園醫院,區域醫院,1.00,2584.00,0.0004,6,是,否,桃園市,桃園區
107年第四季,0132010014,衛生福利部桃園醫院,區域醫院,4.00,2622.00,0.0015,7,是,否,桃園市,桃園區
108年第二季,0132010014,衛生福利部桃園醫院,區域醫院,9.00,2710.00,0.0033,6,是,否,桃園市,桃園區
108年第四季,0132010014,衛生福利部桃園醫院,區域醫院,4.00,2733.00,0.0015,7,是,否,桃園市,桃園區
109年第二季,0132010014,衛生福利部桃園醫院,區域醫院,3.00,2448.00,0.0012,8,是,否,桃園市,桃園區
109年第四季,0132010014,衛生福利部桃園醫院,區域醫院,9.00,2429.00,0.0037,9,是,否,桃園市,桃園區
110年第二季,0132010014,衛生福利部桃園醫院,區域醫院,1.00,2352.00,0.0004,9,是,否,桃園市,桃園區
110年第四季,0132010014,衛生福利部桃園醫院,區域醫院,5.00,2472.00,0.0020,8,是,否,桃園市,桃園區
111年第二季,0132010014,衛生福利部桃園醫院,區域醫院,3.00,2532.00,0.0012,8,是,否,桃園市,桃園區
111年第四季,0132010014,衛生福利部桃園醫院,區域醫院,6.00,2416.00,0.0025,8,是,否,桃園市,桃園區
112年第二季,0132010014,衛生福利部桃園醫院,區域醫院,1.00,2447.00,0.0004,8,是,否,桃園市,桃園區
95年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,1.00,272.60,0.0036,1,否,否,桃園市,新屋區
95年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,277.80,0.0000,1,否,否,桃園市,新屋區
96年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,289.10,0.0000,1,是,否,桃園市,新屋區
96年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,1.00,319.40,0.0031,1,是,否,桃園市,新屋區
97年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,5.00,327.40,0.0152,1,是,否,桃園市,新屋區
97年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,1.00,308.00,0.0032,1,是,否,桃園市,新屋區
98年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,299.60,0.0000,1,是,否,桃園市,新屋區
98年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,338.60,0.0000,1,是,否,桃園市,新屋區
99年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,368.50,0.0000,1,是,否,桃園市,新屋區
99年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,2.00,421.70,0.0047,1,是,否,桃園市,新屋區
100年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,428.20,0.0000,1,是,,桃園市,新屋區
100年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,5.00,448.60,0.0111,1,是,否,桃園市,新屋區
101年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,5.00,439.00,0.0113,1,是,否,桃園市,新屋區
101年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,5.00,472.80,0.0105,1,是,否,桃園市,新屋區
102年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,490.80,0.0000,1,是,否,桃園市,新屋區
102年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,541.00,0.0000,1,是,否,桃園市,新屋區
103年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,509.90,0.0000,1,是,否,桃園市,新屋區
103年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,513.00,0.0000,1,是,否,桃園市,新屋區
104年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,641.00,0.0000,2,是,是,桃園市,新屋區
104年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,712.00,0.0000,3,是,否,桃園市,新屋區
105年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,832.00,0.0000,2,是,是,桃園市,新屋區
105年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,855.00,0.0000,3,是,否,桃園市,新屋區
106年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,916.00,0.0000,3,是,是,桃園市,新屋區
106年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,986.00,0.0000,3,是,否,桃園市,新屋區
107年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,1050.00,0.0000,3,是,否,桃園市,新屋區
107年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,1087.00,0.0000,3,是,否,桃園市,新屋區
108年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,1102.00,0.0000,4,是,否,桃園市,新屋區
108年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,1116.00,0.0000,3,是,否,桃園市,新屋區
109年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,5.00,954.00,0.0052,3,是,否,桃園市,新屋區
109年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,1.00,925.00,0.0011,3,是,否,桃園市,新屋區
110年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,931.00,0.0000,3,是,否,桃園市,新屋區
110年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,3.00,968.00,0.0031,3,是,否,桃園市,新屋區
111年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,1.00,960.00,0.0010,3,是,否,桃園市,新屋區
111年第四季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,0.00,994.00,0.0000,3,是,否,桃園市,新屋區
112年第二季,0132110519,衛生福利部桃園醫院新屋分院,地區醫院,1.00,973.00,0.0010,3,是,否,桃園市,新屋區
95年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,4.00,708.80,0.0056,2,否,否,苗栗縣,苗栗市
95年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,1.00,671.00,0.0014,1,否,否,苗栗縣,苗栗市
96年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,1.00,607.80,0.0016,1,否,否,苗栗縣,苗栗市
96年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,1.00,590.90,0.0016,1,否,否,苗栗縣,苗栗市
97年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,2.00,581.20,0.0034,1,否,否,苗栗縣,苗栗市
97年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,2.00,600.70,0.0033,2,是,否,苗栗縣,苗栗市
98年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,2.00,583.60,0.0034,2,是,是,苗栗縣,苗栗市
98年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,1.00,635.70,0.0015,2,是,是,苗栗縣,苗栗市
99年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,1.00,595.90,0.0016,1,是,是,苗栗縣,苗栗市
99年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,612.80,0.0000,1,是,是,苗栗縣,苗栗市
100年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,609.90,0.0000,1,是,是,苗栗縣,苗栗市
100年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,1.00,596.80,0.0016,1,是,否,苗栗縣,苗栗市
101年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,576.00,0.0000,1,是,是,苗栗縣,苗栗市
101年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,602.10,0.0000,1,是,是,苗栗縣,苗栗市
102年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,615.20,0.0000,1,是,是,苗栗縣,苗栗市
102年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,592.70,0.0000,1,是,是,苗栗縣,苗栗市
103年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,561.10,0.0000,1,是,是,苗栗縣,苗栗市
103年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,568.70,0.0000,2,是,是,苗栗縣,苗栗市
104年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,690.00,0.0000,2,是,是,苗栗縣,苗栗市
104年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,3.00,662.00,0.0045,1,是,否,苗栗縣,苗栗市
105年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,1.00,660.00,0.0015,1,是,是,苗栗縣,苗栗市
105年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,641.00,0.0000,1,是,否,苗栗縣,苗栗市
106年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,1.00,650.00,0.0015,1,是,是,苗栗縣,苗栗市
106年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,626.00,0.0000,1,是,否,苗栗縣,苗栗市
107年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,631.00,0.0000,1,是,否,苗栗縣,苗栗市
107年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,1.00,600.00,0.0017,1,是,否,苗栗縣,苗栗市
108年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,2.00,596.00,0.0034,1,是,否,苗栗縣,苗栗市
108年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,592.00,0.0000,1,是,否,苗栗縣,苗栗市
109年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,2.00,539.00,0.0037,1,是,否,苗栗縣,苗栗市
109年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,2.00,513.00,0.0039,1,是,否,苗栗縣,苗栗市
110年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,3.00,545.00,0.0055,1,是,否,苗栗縣,苗栗市
110年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,565.00,0.0000,1,是,否,苗栗縣,苗栗市
111年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,3.00,579.00,0.0052,1,是,否,苗栗縣,苗栗市
111年第四季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,518.00,0.0000,1,是,否,苗栗縣,苗栗市
112年第二季,0135010016,衛生福利部苗栗醫院,區域醫院,0.00,527.00,0.0000,1,是,否,苗栗縣,苗栗市
95年第二季,0136010010,衛生福利部豐原醫院,區域醫院,4.00,679.00,0.0058,2,否,否,臺中市,豐原區
95年第四季,0136010010,衛生福利部豐原醫院,區域醫院,2.00,727.00,0.0027,2,否,否,臺中市,豐原區
96年第二季,0136010010,衛生福利部豐原醫院,區域醫院,7.00,727.20,0.0096,2,否,否,臺中市,豐原區
96年第四季,0136010010,衛生福利部豐原醫院,區域醫院,1.00,784.40,0.0012,2,否,否,臺中市,豐原區
97年第二季,0136010010,衛生福利部豐原醫院,區域醫院,7.00,755.70,0.0092,2,否,否,臺中市,豐原區
97年第四季,0136010010,衛生福利部豐原醫院,區域醫院,1.00,797.00,0.0012,2,否,否,臺中市,豐原區
98年第二季,0136010010,衛生福利部豐原醫院,區域醫院,4.00,819.50,0.0048,2,否,否,臺中市,豐原區
98年第四季,0136010010,衛生福利部豐原醫院,區域醫院,15.00,852.70,0.0175,2,是,否,臺中市,豐原區
99年第二季,0136010010,衛生福利部豐原醫院,區域醫院,13.00,877.20,0.0148,2,是,否,臺中市,豐原區
99年第四季,0136010010,衛生福利部豐原醫院,區域醫院,24.00,923.60,0.0259,2,是,否,臺中市,豐原區
100年第二季,0136010010,衛生福利部豐原醫院,區域醫院,14.00,906.10,0.0154,2,是,,臺中市,豐原區
100年第四季,0136010010,衛生福利部豐原醫院,區域醫院,17.00,942.10,0.0180,2,是,否,臺中市,豐原區
101年第二季,0136010010,衛生福利部豐原醫院,區域醫院,13.00,994.30,0.0130,2,是,是,臺中市,豐原區
101年第四季,0136010010,衛生福利部豐原醫院,區域醫院,20.00,1009.20,0.0198,2,是,是,臺中市,豐原區
102年第二季,0136010010,衛生福利部豐原醫院,區域醫院,2.00,1094.00,0.0018,2,是,是,臺中市,豐原區
102年第四季,0136010010,衛生福利部豐原醫院,區域醫院,10.00,1182.10,0.0084,2,是,是,臺中市,豐原區
103年第二季,0136010010,衛生福利部豐原醫院,區域醫院,3.00,1187.20,0.0025,3,是,是,臺中市,豐原區
103年第四季,0136010010,衛生福利部豐原醫院,區域醫院,4.00,1231.40,0.0032,3,是,是,臺中市,豐原區
104年第二季,0136010010,衛生福利部豐原醫院,區域醫院,3.00,1554.00,0.0019,4,是,是,臺中市,豐原區
104年第四季,0136010010,衛生福利部豐原醫院,區域醫院,1.00,1499.00,0.0007,4,是,否,臺中市,豐原區
105年第二季,0136010010,衛生福利部豐原醫院,區域醫院,2.00,1527.00,0.0013,4,是,是,臺中市,豐原區
105年第四季,0136010010,衛生福利部豐原醫院,區域醫院,0.00,1484.00,0.0000,3,是,否,臺中市,豐原區
106年第二季,0136010010,衛生福利部豐原醫院,區域醫院,0.00,1565.00,0.0000,3,是,是,臺中市,豐原區
106年第四季,0136010010,衛生福利部豐原醫院,區域醫院,0.00,1531.00,0.0000,3,是,否,臺中市,豐原區
107年第二季,0136010010,衛生福利部豐原醫院,區域醫院,0.00,1458.00,0.0000,3,是,否,臺中市,豐原區
107年第四季,0136010010,衛生福利部豐原醫院,區域醫院,0.00,1438.00,0.0000,3,是,否,臺中市,豐原區
108年第二季,0136010010,衛生福利部豐原醫院,區域醫院,0.00,1476.00,0.0000,3,是,否,臺中市,豐原區
108年第四季,0136010010,衛生福利部豐原醫院,區域醫院,4.00,1475.00,0.0027,3,是,否,臺中市,豐原區
109年第二季,0136010010,衛生福利部豐原醫院,區域醫院,3.00,1488.00,0.0020,3,是,否,臺中市,豐原區
109年第四季,0136010010,衛生福利部豐原醫院,區域醫院,1.00,1461.00,0.0007,3,是,否,臺中市,豐原區
110年第二季,0136010010,衛生福利部豐原醫院,區域醫院,4.00,1484.00,0.0027,3,是,否,臺中市,豐原區
110年第四季,0136010010,衛生福利部豐原醫院,區域醫院,1.00,996.00,0.0010,3,是,否,臺中市,豐原區
111年第二季,0136010010,衛生福利部豐原醫院,區域醫院,2.00,1420.00,0.0014,3,是,否,臺中市,豐原區
111年第四季,0136010010,衛生福利部豐原醫院,區域醫院,1.00,1263.00,0.0008,3,是,否,臺中市,豐原區
112年第二季,0136010010,衛生福利部豐原醫院,區域醫院,0.00,1247.00,0.0000,3,是,否,臺中市,豐原區
95年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,521.70,0.0000,1,否,否,彰化縣,埔心鄉
95年第四季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,595.10,0.0000,2,是,否,彰化縣,埔心鄉
96年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,687.20,0.0000,2,是,否,彰化縣,埔心鄉
96年第四季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,829.30,0.0000,2,是,否,彰化縣,埔心鄉
97年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,906.70,0.0000,2,是,否,彰化縣,埔心鄉
97年第四季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,977.90,0.0000,2,是,否,彰化縣,埔心鄉
98年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,990.80,0.0000,2,是,是,彰化縣,埔心鄉
98年第四季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1016.40,0.0000,2,是,是,彰化縣,埔心鄉
99年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,972.80,0.0000,2,是,是,彰化縣,埔心鄉
99年第四季,0137170515,衛生福利部彰化醫院,區域醫院,3.00,1006.60,0.0029,2,是,是,彰化縣,埔心鄉
100年第二季,0137170515,衛生福利部彰化醫院,區域醫院,1.00,996.80,0.0010,2,是,是,彰化縣,埔心鄉
100年第四季,0137170515,衛生福利部彰化醫院,區域醫院,1.00,1012.10,0.0009,2,是,否,彰化縣,埔心鄉
101年第二季,0137170515,衛生福利部彰化醫院,區域醫院,3.00,957.30,0.0031,2,是,是,彰化縣,埔心鄉
101年第四季,0137170515,衛生福利部彰化醫院,區域醫院,6.00,990.50,0.0060,2,是,是,彰化縣,埔心鄉
102年第二季,0137170515,衛生福利部彰化醫院,區域醫院,3.00,972.90,0.0030,2,是,是,彰化縣,埔心鄉
102年第四季,0137170515,衛生福利部彰化醫院,區域醫院,5.00,995.10,0.0050,2,是,是,彰化縣,埔心鄉
103年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,970.10,0.0000,2,是,是,彰化縣,埔心鄉
103年第四季,0137170515,衛生福利部彰化醫院,區域醫院,3.00,955.80,0.0031,2,是,是,彰化縣,埔心鄉
104年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1114.00,0.0000,2,是,是,彰化縣,埔心鄉
104年第四季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1129.00,0.0000,3,是,否,彰化縣,埔心鄉
105年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1154.00,0.0000,3,是,是,彰化縣,埔心鄉
105年第四季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1126.00,0.0000,2,是,否,彰化縣,埔心鄉
106年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1160.00,0.0000,2,是,是,彰化縣,埔心鄉
106年第四季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1179.00,0.0000,3,是,否,彰化縣,埔心鄉
107年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1217.00,0.0000,3,是,否,彰化縣,埔心鄉
107年第四季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1228.00,0.0000,3,是,否,彰化縣,埔心鄉
108年第二季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1275.00,0.0000,3,是,否,彰化縣,埔心鄉
108年第四季,0137170515,衛生福利部彰化醫院,區域醫院,0.00,1235.00,0.0000,3,是,否,彰化縣,埔心鄉
109年第二季,0137170515,衛生福利部彰化醫院,區域醫院,10.00,1129.00,0.0089,3,是,否,彰化縣,埔心鄉
109年第四季,0137170515,衛生福利部彰化醫院,區域醫院,6.00,1123.00,0.0053,3,是,否,彰化縣,埔心鄉
110年第二季,0137170515,衛生福利部彰化醫院,區域醫院,6.00,1099.00,0.0055,3,是,否,彰化縣,埔心鄉
110年第四季,0137170515,衛生福利部彰化醫院,區域醫院,1.00,1131.00,0.0009,3,是,否,彰化縣,埔心鄉
111年第二季,0137170515,衛生福利部彰化醫院,區域醫院,6.00,1144.00,0.0052,4,是,否,彰化縣,埔心鄉
111年第四季,0137170515,衛生福利部彰化醫院,區域醫院,5.00,1156.00,0.0043,4,是,否,彰化縣,埔心鄉
112年第二季,0137170515,衛生福利部彰化醫院,區域醫院,11.00,1181.00,0.0093,4,是,否,彰化縣,埔心鄉
95年第二季,0138010027,衛生福利部南投醫院,區域醫院,1.00,597.70,0.0016,3,否,否,南投縣,南投市
95年第四季,0138010027,衛生福利部南投醫院,區域醫院,1.00,675.70,0.0014,3,否,否,南投縣,南投市
96年第二季,0138010027,衛生福利部南投醫院,區域醫院,0.00,686.60,0.0000,3,是,否,南投縣,南投市
96年第四季,0138010027,衛生福利部南投醫院,區域醫院,0.00,745.40,0.0000,2,是,否,南投縣,南投市
97年第二季,0138010027,衛生福利部南投醫院,區域醫院,0.00,817.00,0.0000,2,是,否,南投縣,南投市
97年第四季,0138010027,衛生福利部南投醫院,區域醫院,3.00,866.50,0.0034,3,是,否,南投縣,南投市
98年第二季,0138010027,衛生福利部南投醫院,區域醫院,1.00,888.40,0.0011,3,是,否,南投縣,南投市
98年第四季,0138010027,衛生福利部南投醫院,區域醫院,1.00,608.90,0.0016,3,是,否,南投縣,南投市
98年第四季,0138010027,衛生福利部南投醫院,區域醫院,0.00,315.10,0.0000,3,是,否,南投縣,南投市
99年第二季,0138010027,衛生福利部南投醫院,區域醫院,0.00,632.70,0.0000,3,是,否,南投縣,南投市
99年第二季,0138010027,衛生福利部南投醫院,區域醫院,0.00,332.40,0.0000,3,是,否,南投縣,南投市
99年第四季,0138010027,衛生福利部南投醫院,區域醫院,0.00,293.10,0.0000,2,是,否,南投縣,南投市
99年第四季,0138010027,衛生福利部南投醫院,區域醫院,1.00,484.90,0.0020,2,是,否,南投縣,南投市
100年第二季,0138010027,衛生福利部南投醫院,區域醫院,0.00,477.40,0.0000,2,是,,南投縣,南投市
100年第四季,0138010027,衛生福利部南投醫院,區域醫院,1.00,519.20,0.0019,2,是,否,南投縣,南投市
101年第二季,0138010027,衛生福利部南投醫院,區域醫院,2.00,386.80,0.0051,1,是,否,南投縣,南投市
101年第四季,0138010027,衛生福利部南投醫院,區域醫院,1.00,393.70,0.0025,2,是,否,南投縣,南投市
102年第二季,0138010027,衛生福利部南投醫院,區域醫院,1.00,467.40,0.0021,2,是,否,南投縣,南投市
102年第四季,0138010027,衛生福利部南投醫院,區域醫院,3.00,513.90,0.0058,2,是,否,南投縣,南投市
103年第二季,0138010027,衛生福利部南投醫院,區域醫院,1.00,500.90,0.0019,2,是,否,南投縣,南投市
103年第四季,0138010027,衛生福利部南投醫院,區域醫院,0.00,488.30,0.0000,2,是,否,南投縣,南投市
104年第二季,0138010027,衛生福利部南投醫院,區域醫院,0.00,658.00,0.0000,2,是,是,南投縣,南投市
104年第四季,0138010027,衛生福利部南投醫院,區域醫院,0.00,674.00,0.0000,2,是,否,南投縣,南投市
105年第二季,0138010027,衛生福利部南投醫院,區域醫院,0.00,668.00,0.0000,2,是,是,南投縣,南投市
105年第四季,0138010027,衛生福利部南投醫院,區域醫院,0.00,682.00,0.0000,2,是,否,南投縣,南投市
106年第二季,0138010027,衛生福利部南投醫院,區域醫院,0.00,772.00,0.0000,2,是,是,南投縣,南投市
106年第四季,0138010027,衛生福利部南投醫院,區域醫院,0.00,788.00,0.0000,2,是,否,南投縣,南投市
107年第二季,0138010027,衛生福利部南投醫院,區域醫院,1.00,827.00,0.0012,2,是,否,南投縣,南投市
107年第四季,0138010027,衛生福利部南投醫院,區域醫院,1.00,850.00,0.0012,2,是,否,南投縣,南投市
108年第二季,0138010027,衛生福利部南投醫院,區域醫院,1.00,910.00,0.0011,2,是,否,南投縣,南投市
108年第四季,0138010027,衛生福利部南投醫院,區域醫院,1.00,917.00,0.0011,2,是,否,南投縣,南投市
109年第二季,0138010027,衛生福利部南投醫院,區域醫院,13.00,848.00,0.0153,2,是,否,南投縣,南投市
109年第四季,0138010027,衛生福利部南投醫院,區域醫院,7.00,898.00,0.0078,2,是,否,南投縣,南投市
110年第二季,0138010027,衛生福利部南投醫院,區域醫院,7.00,918.00,0.0076,2,是,否,南投縣,南投市
110年第四季,0138010027,衛生福利部南投醫院,區域醫院,10.00,912.00,0.0110,2,是,否,南投縣,南投市
111年第二季,0138010027,衛生福利部南投醫院,區域醫院,14.00,967.00,0.0145,2,是,否,南投縣,南投市
111年第四季,0138010027,衛生福利部南投醫院,區域醫院,15.00,949.00,0.0158,2,是,否,南投縣,南投市
112年第二季,0138010027,衛生福利部南投醫院,區域醫院,11.00,981.00,0.0112,2,是,否,南投縣,南投市
95年第二季,0140010028,衛生福利部朴子醫院,地區醫院,2.00,197.70,0.0101,1,否,否,嘉義縣,朴子市
95年第四季,0140010028,衛生福利部朴子醫院,地區醫院,2.00,216.10,0.0092,1,否,否,嘉義縣,朴子市
96年第二季,0140010028,衛生福利部朴子醫院,地區醫院,4.00,223.10,0.0179,1,否,否,嘉義縣,朴子市
96年第四季,0140010028,衛生福利部朴子醫院,地區醫院,1.00,239.00,0.0041,1,否,否,嘉義縣,朴子市
97年第二季,0140010028,衛生福利部朴子醫院,地區醫院,0.00,260.60,0.0000,1,否,否,嘉義縣,朴子市
